Vers,Phonétique,Syllabes
moi si jeune enviant ta blessure et tes maux,mwasiZ9nAvjA|tablesyRetemo,12
que j'aime le premier frisson d'hiver  le chaume,k@ZEm@l@pR@mje|fRisCdivERl@Som,12
sous le pied du chasseur refusant de ployer ,sul@pjedySas9R|R@fyzAd@plwaje,12
quand vient la pie aux champs que le foin vert embaume,kAvje~lapioSA|k@l@fwe~vERtAbom,12
au fond du vieux château s'éveille le foyer ,ofCdyvj2Sato|sz|evej@l@fwaje,12
c'est le temps de la ville  oh  lorsque l'an dernier,sEl@tAd@lavil|olORsk@lAdERnje,12
j'y revins que je vis ce bon louvre et son dôme,ZiR@ve~k@Z@vis|s@bCluvResCdom,12
paris et sa fumée et tout ce beau royaume,paRizesafyme|etus@boRwajom,12
j'entends encore au vent les postillons crier,ZAtAzAkORovA|lepostijCkRije,13
que j'aimais ce temps gris ces passants et la seine,k@ZemEs@tAgRi|sepasAzelasEn,12
sous ses mille falots assise en souveraine ,susemil@faloz|asizAsuv@REn,12
j'allais revoir l'hiver  et toi ma vie et toi ,ZalER@vwaRlivER|etwamavietwa,12
oh  dans tes longs regards j'allais tremper mon âme ,odAtelCR@gaR|Z|alEtRApemCam,12
je saluais tes murs  car qui m'eût dit madame,Z@salHEtemyR|kaRkimydimadam,12
que votre cœur sitôt avait changé pour moi ,k@vOtR@k9rsitot|avESAZepuRmwa,12
j'ai connu l'an dernier un jeune homme nommé,ZekOnylAdERnje|e~Z9nOm@nOme,12
mardoche qui vivait nuit et jour enfermé,maRdoS@kivivE|nHiteZuRAfERme,12
ô prodige  il n'avait jamais lu de sa vie,opROdiZilnavE|ZamElyd@savi,12
le ,l@,1
il n'avait vu ni kean ni bonaparte ni,ilnavEvynikeannibonapaRt@ni,13
monsieur de metternich   quand il avait fini,m@sj2d@mEtERniS|kAtilavEfini,12
de souper se couchait précisément à l'heure,d@supes@kuSE|pResizemAtal9R,12
où quand par le brouillard la chatte rôde et pleure,ukApaRl@bRujaR|laSat@Rodepl9R,12
monsieur hugo va voir mourir phœbus le blond,m@sj2ygovavwaR|muRiRfEbysl@blC,12
vous dire ses parents cela serait trop long,vudiR@sepaRA|s@las@REtRolC,12
bornez-vous à savoir qu'il avait la pucelle,bORnevuzasavwaR|k|ilavElapysEl,12
d'orléans pour aïeule en ligne maternelle,dtoRleApuRaj9l|Alinj@matERnEl,12
d'ailleurs son compagnon compère et confident,dtaj9RsCkCpanjC|kCpERekCfidA,12
était un chien anglais bon pour l'œil et la dent,etEte~Sje~AglE|bCpuRl2jeladA,12
cet homme ainsi reclus vivait en joie  a peine,sEtOme~siR@kly|vivEtAZwaapEn,12
le spleen le prenait-il quatre fois par semaine,l@splinl@pR@nEtil|katR@fwapaRs@mEn,12
pour ses moments perdus il les donnait parfois,puRsemOmApERdyz|illedOnEpaRfwa,12
les muses visitaient sa demeure cachée,lemyz@vizitE|sad@m9R@kaSe,12
et quoiqu'il fît rimer ,ekwakilfiRime|,6
on le lisait c'était du reste un esprit fort ,Cl@lizEsetE|dyREste~EspRifOR,12
il eût fait volontiers d'une tête de mort,ilyfEvOlCtje|dt|yn@tEt@d@mOR,12
un falot et mangé sa soupe dans le crâne,e~falotemAZe|sasup@dAl@kRan,12
de sa grand'mère  au fond il estimait qu'un âne,d@sagRAmERofCt|ilEstimEke~an,12
pour dieu qui nous voit tous est autant qu'un ânier,puRdj2kinuvwatusz|EtotAke~anHE,12
peut-être que n'ayant pour se désennuyer,p2EtR@k@nEjA|puRs@dezAnHije,12
qu'un livre c'est le cœur humain que je veux dire,ke~livR@sEl@k9r|yme~k@Z@v2diR,12
il avait su trop tôt et trop avant y lire ,ilavEsytRotot|etRoavAtiliR,12
c'est un grand mal d'avoir un esprit trop hâtif,sEte~gRAmaldtavwaR|e~EspRitRoatif,12
 il ne dansait jamais au bal par ce motif,iln@dAsEZamEz|obalpaRs@mOtif,12
je puis certifier pourtant qu'il avait l'âme,Z@pHisERtifje|puRtAkilavElam,12
aussi tendre en tout point qu'un autre et que sa femme,ositAdRAtupwe~|k|e~otRek@safam,12
en ne le faisant pas c_,An@l@f@zApa|??|,6
plus fort ni plus souvent battue en vérité,plyfORniplysuvA|batyAveRite,12
que celle de monsieur de ,k@sEl@d@m@sj2|d@,7
son sentiment était très aristocratique,sCsAtimAtetE|tREzaRistOkRatik,12
et je dois avouer qu'à consulter son goût,eZ@dwazavwe|k|akCsyltesCgu,12
il aimait mieux la porte et le sultan mahmoud,ilemEmj2lapORt|el@syltAmamud,12
que la chrétienne smyrne et ce bon peuple hellène,k@lakRetjEn@smirn|es@bCp9plElEn,12
dont les flots ont rougi la mer hellespontienne,dCleflozCRuZi|lamERElEspCtHEn,12
et taché de leur sang tes marbres ô paros ,etaSed@l9RsA|temaRbR@opaRos,12
 mais la chose ne fait rien à notre héros,mElaSoz@n@fE|Rje~anOtReRo,11
bien des heures des jours bien des longues semaines,bje~de9R@deZuR|bje~delCg@s@mEn,12
passèrent sans que rien dans les choses humaines,pasERsAk@Rje~dA|leSozymEn,10
le tentât d'y rentrer  tout à coup un beau jour,l@tAtadtiRAtRe|tutakue~boZuR,12
fut-ce l'ambition ou bien fut-ce l'amour ,fys@lAbisjC|ubje~fys@lamuR,12
peut-être tous les deux car ces folles ivresses,p2EtR@tusled2|kaRsefOl@zivREs,12
viennent à tous propos déranger nos paresses ,vjEntatuspROpodeRAZenopaREs,11
quoi qu'il en soit lecteur voici ce qu'il advint,kwakilAswalEkt9R|vwasis@kiladve~,12
a mon ami mardoche en l'an mil huit cent vingt,amCamimaRdoS|AlAmilHitsAve~t,12
je ne vous dirai pas quelle fut la douairière,Z@n@vudiRepa|kEl@fyladwERjER,14
qui lui laissa son bien en s'en allant en terre,kilHilesasCbje~|AszAalAtAtER,12
sur quoi de cénobite il devint élégant,syRkwad@senobit|ild@ve~telegA,12
et n'allait plus qu'en fiacre au boulevard de gand,enalEplykAfjakR|obul@vaRd@gA,12
que dorme en paix ta cendre ô quatre fois bénie,k@dORmApEtasAdR@okatR@fwabeni,13
douairière pour le jour où cette sainte envie,dwERjER@puR|l@ZuRusEt@se~tAvi,14
comme un rayon d'en haut te vint prendre en toussant,kOme~REjCdtAo|t@ve~pRAdRAtusA,12
de demander un prêtre et de cracher le sang ,d@d@mAdee~pREtR|ed@kRaSel@sA,12
ta tempe fut huilée et sous la lame neuve,tatAp@fyHile|esulalam@n9v,12
tu te laissas clouer comme dit sainte-beuve,tyt@lesaklue|kOm@dise~t@b2v,12
tes meubles furent mis douairière au châtelet ,tem9bl@fyRmidwERjERoSat@lE,13
chacun vendu le tiers de l'argent qu'il valait,Sake~vAdyl@tjER|d@laRZAkilvalE,12
de ta robe de noce on fit un parapluie ,d@taROb@d@nOs|Cfite~paRaplHi,12
ton boudoir ô vénus devint une écurie,tCbudwaRovenys|d@ve~tynekyRi,12
quatre grands lévriers chassèrent du tapis,katR@gRAlevRijeSasERdytapi,12
ton chat qui de tout temps sur ton coussin tapi,tCSakid@tutA|syRtCkuse~tapi,12
s'était frotté le soir l'oreille à ta pantoufle,szetEfROtel@swaR|l|OREjatapAtufl,12
et qui maigre aujourd'hui la queue au vent s'essouffle,ekimEgRojuRdji|lak2ovAszesufl,12
a courir sur les toits des repas incertains,akuRiRsyRletwa|deR@paze~sERte~,12
 admirable matière à mettre en vers latins ,admiRabl@matjER|amEtRAvERlate~,12
je ne vous dirai pas non plus à quelle dame,Z@n@vudiRepa|nCplyzakEl@dam,12
mardoche ayant d'abord laissé prendre son âme,maRdoSEjAdtabOR|lesepRAdR@sCam,12
dut ces douces leçons premier enseignement,dysedus@l@sC|pR@mjeAsEnj@mA,12
que l'amie à regret donne à son jeune amant,k@lamiaR@gRE|dOnasCZ9namA,12
je ne vous dirai pas comment à quelle fête,Z@n@vudiRepa|kOmAtakEl@fEt,12
il la vit qui des deux voulut le tête-à-tête,illavikided2|vulyl@tEta,11
qui des deux du plus loin hasarda le premier,kided2dyplylwe~|azaRdal@pR@mje,12
l'œillade italienne et qui de l'écolier,l2jaditaljEne|kid@lekOlje,11
ou du maître trembla le plus  hélas  qu'en sais-je,udymEtR@tRAbla|l@plyelaskAsEZ@,13
que vous ne sachiez mieux et que vous apprendrais-je ,k@vun@saSjemj2z|ek@vuzapRAdREZ@,13
il se peut qu'on oublie un rendez-vous donné,ils@p2kCubli|e~RAdevudOne,12
une chance  un remords  et l'heure où l'on est né,yn@SAse~R@mORz|el9RulCEne,12
et l'argent qu'on emprunte  il se peut qu'on oublie,elaRZAkCApRe~t|ils@p2kCubli,12
sa femme ses amis son chien et sa patrie ,safam@sezami|sCSje~esapatRi,12
il se peut qu'un vieillard perde jusqu'à son nom,ils@p2ke~vjEjaR|pERd@ZyskasCnC,12
mais jamais l'insensé jamais le moribond,mEZamEle~sAse|ZamEl@mORibC,12
celui qui perd l'esprit ni celui qui rend l'âme,s@lHikipERlEspRi|nis@lHikiRAlam,12
n'ont oublié la voix de la première femme,nCtublijela|vwad@lapR@mjER@fam,13
qui leur a dit tout bas ces quatre mots si doux,kil9Radituba|sekatR@mosidu,12
et si mystérieux  ,esimisteRj2|,6
ce fut aux premiers jours d'automne au mois d'octobre,s@fytopR@mjeZuR|dt|OtOnomwadtOktObR,12
que mardoche revint au monde  il était sobre,k@maRdoS@R@ve~t|omCdiletEsObR,12
d'habitude et mangeait vite  son cuisinier,dabitydemAZE|vit@sCkHizinje,12
ne le gênait pas plus que son palefrenier,n@l@ZenEpaply|k@sCpal@fR@nje,12
il ne prit ni cocher ni groom ni gouvernante,iln@pRinikOSe|nigRumniguvERnAt,12
mais honni soit qui mal y pense  une servante,mEoniswakimal|ipAsyn@sERvAt,12
de ses façons d'ailleurs rien ne parut changé,d@sefasCdtaj9R|Rje~n@paRySAZe,12
peut-être dira-t-on qu'il était mal logé ,p2EtR@diRatkil|etEmallOZe,11
c'est à quoi je réponds qu'il avait pour voisine,sEtakwaZ@RepC|k|ilavEpuRvwazin,12
deux yeux napolitains qui s'appelaient rosine,d2zj2napOlite~|kiszap@lERozin,12
j'adore les yeux noirs avec des cheveux blonds,ZadOR@lezj2nwaRz|avEkdeS@v2blC,12
tels les avait rosine  et de ces regards longs,tEllezavERozin|ed@seR@gaRlC,12
a s'y noyer  c'étaient deux étoiles d'ébène,aszinwajesetE|d2zetwal@dtebEn,12
sur des cieux de cristal   tantôt mourants à peine,syRdesj2d@kRistal|tAtomuRAzapEn,12
entr'ouverts au soleil comme les voiles blancs,AntruvERzosOlEj|kOm@levwal@blA,12
des abbesses de cour   tantôt étincelants,dezabEs@d@kuR|tAtotete~s@lA,12
calmes livrant sans crainte une âme sans mélange,kalm@livRAsAkRe~t|yn@amsAmelAZ,12
doux et parlant aux yeux le langage d'un ange,duzepaRlAtozj2|l@lAgaZ@dte~AZ,12
 que mardoche y prît goût ce n'est aucunement,k@maRdoSipRigu|s@nEtokyn@mA,12
judicieux lecteur raison d'étonnement,Zydisj2lEkt9R|REzCdtetOn@mA,12
m'en croira qui voudra mais depuis qu'en décembre,mAkRwaRakivudRa|mEd@pHikAdesAbR,12
la volonté du ciel est qu'on garde la chambre,lavOlCtedysjEl|EkCgaRd@laSAbR,12
a coup sûr paresseux et fou comme je suis,akusyRpaRes2z|efukOm@Z@sHi,12
a rêver sans dormir j'ai passé bien des nuits,aRevesAdORmiR|Z|epasebje~denHi,12
le soir au coin du feu renversé sur ma chaise,l@swaRokwe~dyf2|RAvERsesyRmaSEz,12
mon menton dans ma main et mon pied dans ma braise,mCmAtCdAmame~|emCpjedAmabREz,12
pendant que l'aquilon frappait à mes carreaux,pAdAk@lakilC|fRapEtamekaRo,12
j'ai fait bien des romans  bâti bien des châteaux  ,ZefEbje~deROmA|batibje~deSato,12
j'ai comme prométhée animé d'une flamme,ZekOm@pRomete|animedtyn@flam,12
bien des êtres divins portant des traits de femme ,bje~deEtR@dive~|pORtAdetREd@fam,12
blonds cheveux sourcils bruns front vermeil ou pâli ,blCS@v2suRsilbRe~|fRCvERmEjupali,12
dante aimait béatrix  byron la guiccioli,dAtemEbeatRiks|biRClagisioli,13
moi si j'eusse été maître en cette fantaisie,mwasiZysetemEtR|AsEt@fAtezi,12
je me suis dit souvent que je l'aurais choisie,Z@m@sHidisuvA|k@Z@lORESwazi,12
a naple un peu brûlée à ces soleils de plomb,anaple~p2bRyle|asesOlEjd@plC,12
qui font dormir le pâtre à l'ombre du sillon ,kifCdORmiRl@patR|alCbR@dysijC,12
une lèvre à la turque et sous un col de cygne,yn@lEvRalatyRk|esuze~kOld@sinj,12
un sein vierge et doré comme la jeune vigne ,e~se~vjERZedORe|kOm@laZ9n@vinj,12
telle que par instants giorgione en devina,tEl@k@paRe~stA|ZjoRzjonAd@vina,12
ou que dans cette histoire était la rosina,uk@dAsEtistwaR|etElaRozina,12
il en est de l'amour comme des litanies,ilAEd@lamuR|kOm@delitani,12
de la vierge  jamais on ne les a finies ,d@lavjERZ@ZamEz|Cn@lezafini,12
mais une fois qu'on les commence on ne peut plus,mEzyn@fwakCle|kOmAsCn@p2ply,12
s'arrêter  c'est un mal propre aux fruits défendus,szaRetesEte~mal|pROpRofRHidefAdy,12
c'est pourquoi chaque soir la nuit était bien proche,sEpuRkwaSak@swaR|lanHitetEbje~pROS,12
et le soleil bien loin quand mon ami mardoche,el@sOlEjbje~lwe~|kAmCamimaRdoS,12
quittait la jalousie écartée à demi,kitElaZaluzi|ekaRtead@mi,12
d'où l'indiscret lorgnon plongeait sur l'ennemi,dtule~diskRElORnjC|plCZEsyRlEn@mi,12
 même quand il faisait clair de lune l'aurore,mEm@kAtilf@zE|klERd@lyn@lOROR,12
a son poste souvent le retrouvait encore,asCpost@suvA|l@R@tRuvEtAkOR,12
philosophes du jour je vous arrête ici,filOzOf@dyZuR|Z@vuzaREtisi,12
ô sages demi-dieux expliquez-moi ceci,osaZ@d@midj2z|Eksplikemwas@si,12
on ne volerait pas à coup sûr une obole,Cn@vOl@REpaz|akusyRynObOl,12
a son voisin  pourtant quand on peut on lui vole,asCvwaze~puRtA|kAtCp2tClHivOl,12
sa femme   car il faut ô lecteur bien appris,safam@kaRilfo|olEkt9Rbje~apRi,12
vous dire que rosine entre tous les maris,vudiR@k@Rozin|AtR@tuslemaRi,12
avait reçu du ciel par les mains d'un notaire,avER@sydysjEl|paRleme~dte~nOtER,12
le meilleur qu'à dijon avait trouvé son père,l@mEj9RkadiZC|avEtRuvesCpER,12
on pense avec raison que sa mère en partant,CpAsavEkREzC|k@samERApaRtA,12
n'avait rien oublié sur le point important,navERje~ublijesyRl@pwe~te~pORtA,13
rien n'est plus amusant qu'un premier jour de noce ,Rje~nEplyzamyzA|k|e~pR@mjeZuRd@nOs,12
au débotté d'ailleurs on avait pris carrosse,odebotedtaj9Rz|CavEpRikaROs,12
 le reste à l'avenant  sans compter les chapeaux,l@REstalav@nA|sAkCteleSapo,12
d'herbeau rien n'y manquait  c'est un méchant propos,dERboRje~nimAkE|s|Ete~meSApROpo,12
de dire qu'à six ans une poupée amuse,d@diR@kasiszAz|yn@pupeamyz,12
autant qu'à dix-neuf ans un mari  mais tout s'use,otAkadisn9fAz|e~maRimEtuszyz,12
une lune de miel n'a pas trente quartiers,yn@lyn@d@mjEl|n|apatRAt@kaRtje,12
comme un baron saxon  et gare les derniers ,kOme~baRCsaksC|egaR@ledERnje,12
l'amour hélas  l'étrange et la fausse nature ,lamuRelasletRAZ|elafos@natyR,12
vit d'inanition et meurt de nourriture,vidtinanisjC|em9Rd@nuRityR,12
et puis que faire   un jour c'est bien long  et demain ,epHik@fERe~ZuR|s|Ebje~lCed@me~,12
et toujours   l'ennui gagne  a quoi rêver au bain ,etuZuRlAnHiganj|akwaReveobe~,12
 hélas  l'oisiveté s'endort laissant sa porte,elaslwaziv@te|sz|AdORlesAsapORt,12
ouverte  entre l'amour  pour que la raison sorte,uvERtAtR@lamuR|puRk@laREzCsORt,12
il ne faut pas longtemps la vie en un moment,iln@fopalCtA|laviAe~mOmA,12
se remplit   on se trouve avoir pris un amant,s@RAplitCs@tRuv|avwaRpRize~amA,12
 l'un attaque en hussard la déesse qu'il aime,le~atakAysaR|ladeEs@kilEm,12
l'autre fait l'écolier  chacun a son système,lotR@fElekOlje|Sake~asCsistEm,12
hier un de mes amis se trouvant à souper,jERe~d@mezamis@tRuvAtasupe,13
auprès d'une duchesse eut soin de se tromper,opREdtyn@dySEs|yswe~d@s@tRCpe,12
de verre  mais vraiment dit la dame en colère,d@vER@mEvREmA|diladamAkOlER,12
êtes-vous fou monsieur  vous buvez dans mon verre ,Et@vufum@sj2|vubyvedAmCvER,12
ô l'homme peu galant qui ne répondit rien,olOm@p2galA|kin@RepCdiRje~,12
si ce n'est  faites-en madame autant du mien ,sis@nEfEt@zA|madamotAdymje~,12
assurément lecteur le tour était perfide,asyRemAlEkt9R|l@tuRetEpERfid,12
car l'ayant pris tout plein il le replaça vide,kaRlEjApRituple~|ill@R@plasavid,12
la dame avait du blanc et pourtant en rougit,ladamavEdyblA|epuRtAtARuZi,12
qu'y faire  on chuchota dieu sut ce qu'on en dit,kifERCSySOta|dj2sys@kCAdi,12
mon dieu  qui peut savoir lequel on récompense,mCdj2kip2savwaR|l@kElCRekCpAs,12
le mieux ou du respect  ou de certaine offense,l@mj2zudyREspEt|ud@sERtEnOfAs,12
je n'ai dessein lecteur de faire aucunement,Z@nedese~lEkt9R|d@fERokyn@mA,12
ici ce qu'à paris on appelle un roman,isis@kapaRiz|CapEle~ROmA,12
peu s'en faut qu'un auteur qui pas à pas chemine,p2szAfoke~ot9R|kipazapaS@min,12
ne vous fasse coucher avec son héroïne,n@vufas@kuSe|avEksCeROin,12
ce n'est pas ma manière et si vous permettez,s@nEpamamanjER|esivupERmEte,12
ce sera quinze jours que nous aurons sautés,s@s@Rake~z@ZuR|k@nuzoRCsote,12
 un dimanche observez qu'un dimanche la rue,e~dimASOpsERve|k|e~dimAS@laRy,12
vivienne est tout à fait vide et que la cohue,vivjEnEtutafE|videk@lakOy,12
est aux panoramas ou bien au boulevard,EtopanORamaz|ubje~obul@vaR,12
un dimanche matin une heure une heure un quart,e~dimAS@mate~|9R9Re~kaR,14
mardoche habit marron en landau de louage,maRdoSabimaRC|AlAdod@lHaZ,12
par devant tortoni passait en grand tapage,paRd@vAtoRtoni|pasEtAgRAtapaZ,12
 gare  criait le groom  quoi  mardoche en landau ,gaR@kRijEl@|gRumkwamaRdoSAlAdo,13
 oui  la grisette à pied trottant comme un perdreau,wilagRisEtapje|tROtAkOme~pERdRo,12
jeta plus d'une fois sans doute à la portière,Z@taplydtyn@fwa|sAdutalapORtjER,12
du jeune gentleman l'œillade meurtrière,dyZ9n@ZAt@lman|l|2jad@m9RtRijER,13
mais il n'y prit pas garde  un important projet,mEzilnipRipagaRd|e~e~pORtApROZE,12
a ses réflexions semblait donner sujet,aseReflEksjC|sAblEdOnesyZE,12
son regard était raide et jamais diplomate,sCR@gaRtetEREd|eZamEdiplOmat,12
ne parut plus guindé ni plus haut sur cravate,n@paRyplyge~de|niplyosyRkRavat,12
où donc s'en allait-il   il allait à meudon,udCkszAalEtil|ilalEtam2dC,12
 quoi  si matin si loin si vite  et pourquoi donc ,kwasimate~silwe~|sivitepuRkwadCk,12
 le voici d'où sait-on s'il vous plaît qu'on approche,l@vwasidtusEtC|sz|ilvuplEkCapROS,12
d'un village sinon qu'on en entend la cloche ,dte~vilaZ@sinC|k|CAAtAlaklOS,12
or la cloche suppose un clocher  le clocher,ORlaklOS@sypoz|e~klOSel@klOSe,12
un curé  le curé quand c'est jour de prêcher,e~kyRel@kyRe|kAsEZuRd@pReSe,12
a besoin d'un bedeau  le bedeau d'ordinaire,ab@zwe~dte~b@do|l@b@dodtORdinER,12
est en même temps cuistre à l'école primaire,EtAmEm@tAkHistR|alekOl@pRimER,12
or le cuistre du lieu lecteur était l'ancien,ORl@kHistR@dylj2|lEkt9RetElAsje~,13
allié des parents de mardoche et le sien,aljedepaRA|d@maRdoSel@sje~,12
ayant donc débarqué notre héros fit mettre,EjAdCkdebaRke|nOtReRofimEtR,11
sa voiture en un lieu sûr qu'il pût reconnaître,savwatyRAe~lj2|syRkilpyR@kOnEtR,12
puis s'éloigna sans trop regarder son chemin,pHiszelwanjasAtRo|R@gaRdesCS@me~,12
d'un pas plus mesuré qu'un sénateur romain,dte~paplym@zyRe|k|e~senat9RROme~,12
longtemps et lentement comme un bayeur aux grues,lCtAzelAt@mA|kOme~baj2RogRy,12
il marcha coudoyant le monde par les rues,ilmaRSakudojA|l@mCd@paRleRy,12
il savait dès longtemps que le bon magister,ilsavEdElCtA|k@l@bCmaZistER,12
les dimanches matins sortait pour prendre l'air ,ledimAS@mate~|sORtEpuRpRAdR@lER,12
c'est pourquoi sans l'aller demander à sa porte,sEpuRkwasAlale|d@mAdeasapORt,12
il détourna d'abord le coin du bois en sorte,ildetuRnadtabOR|l@kwe~dybwazAsORt,12
qu'au bout de trente pas il était devant lui ,kobud@tRAt@paz|iletEd@vAlHi,12
 ,,0
le vieillard à vrai dire un peu surpris et comme,l@vjEjaRtavREdiR|e~p2syRpRizekOm,12
distrait d'un rêve ôta de ses lèvres la pomme,distREdte~REv@otad@selEvR@lapOm,13
de sa canne  mon fils tout va bien dieu merci,d@sakan@mCfil|tuvabje~dj2mERsi,12
dit-il et quel sujet vous fait venir ici ,ditilekElsyZE|vufEv@niRisi,12
 sujet reprit mardoche excessivement sage,syZER@pRimaRdoS|Eksesiv@mAsaZ,12
très moral un sujet très logique je gage,tREmORale~syZE|tRElOZik@Z@gaZ,12
ma barbe et mon bonnet qu'on pourrait vous donner,mabaRbemCbOnE|k|CpuREvudOne,12
dix-sept éternités pour nous le deviner ,dissEttetERnite|puRnul@d@vine,12
la matinée était belle  les alouettes,lamatineetE|bEl@lezalwEt,12
commençaient à chanter  quelques lourdes charrettes,kOmAsEtaSAte|kElk@luRd@SaREt,12
soulevaient çà et là la poussière c'était,sul@vEsaela|lapusjER@setE,12
un de ces beaux matins un peu froids comme il fait,e~d@sebomate~z|e~p2fRwakOmilfE,12
en octobre le ciel secouait de sa robe,AOktObR@l@sjEl|s@kwEd@saROb,12
les brouillards vaporeux sur le terrestre globe,lebRujaRvapOR2|syRl@teREstR@glOb,12
 asseyez-vous mon fils dit le prêtre  voilà,asEjevumCfil|dil@pREtR@vwala,12
l'un des plus beaux instants du jour  pour ce vent-là,le~deplyboze~stA|dyZuRpuRs@vAla,12
je le crois usurier bon père dit mardoche,Z@l@kRwazyzyRje|bCpER@dimaRdoS,12
car il vous met la main malgré vous à la poche,kaRilvumElame~|malgRevuzalapOS,12
 l'un des plus beaux instants mon fils où les humains,le~deplyboze~stA|mCfilzuleyme~,12
puissent à l'éternel tendre leurs faibles mains ,pHistaletERnEltAdR@l9RfEbl@me~,11
l'âme s'y sent ouverte et la prière aisée,lamszisAtuvERte|lapRijEReze,11
 oui  mais nous avons là les pieds dans la rosée,wimEnuzavCla|lepjedAlaRoze,12
bon père  autant vaudrait prier en plus bas lieu,bCpERotAvodRE|pRijeAplybalj2,13
 les monts dit le vieillard sont plus proches de dieu,lemCdil@vjEjaR|sCplypROS@d@dj2,12
ce sont ses vrais autels et si le saint prophète,s@sCsevREzotElz|esil@se~pROfEt,12
moïse le put voir ce fut au plus haut faite,moiz@l@pyvwaR|s@fytoplyofEt,12
 hélas  reprit mardoche un homme sur le haut,elasR@pRimaRdoS|e~Om@syRl@o,12
du plus pointu des monts serait-ce le jung-frau ,dyplypwe~tydemC|s@REs@l@ZungfRo,12
me fait le même effet justement qu'une mouche,m@fEl@mEmefE|Zyst@mAkyn@muS,12
au bout d'un pain de sucre ah  bon père la bouche,obudte~pe~d@sykR|abCpER@labuS,12
des hommes à coup sûr les met haut mais leurs pieds,deOm@zakusyR|lemEomEl9Rpje,12
les mettent bas  mon fils dit le docteur voyez,lemEtbamCfildi|l@dOkt9Rvwaje,11
que vos cheveux sont d'or et les miens sont de neige,k@voS@v2sCdtOR|elemje~sCd@nEZ,12
attendez que le temps vienne  et qu'en apprendrai-je ,atAdek@l@tA|vjEnekAapRAdReZ@,13
prit l'autre souriant de son méchant souris ,pRilotR@suRjA|d@sCmeSAsuRi,12
science des humains n'est-elle pas mépris ,sjAs@deyme~|n|EtEl@pamepRi,12
il s'assit à ce mot  laissons cela mon père,ilszasitas@mo|lesCs@lamCpER,12
dit-il je suis venu pour vous parler d'affaire,ditilZ@sHiv@ny|puRvupaRledtafER,12
comme vous le disiez tout à l'heure je suis,kOm@vul@dizje|tutal9R@Z@sHi,12
jeune par conséquent amoureux je ne puis,Z9n@paRkCsekAt|amuR2Z@n@pHi,12
voir ma maîtresse  elle a son mari la fenêtre,vwaRmamEtREsEla|sCmaRilaf@nEtR,12
est haute à parler franc et  je vous ai vu naître,EotapaRlefRA|eZ@vuzevynEtR,12
mon ami dit le prêtre et je vous ai tenu,mCamidil@pREtR|eZ@vuzet@ny,12
sur les fonts baptismaux quand vous êtes venu,syRlefCbatismo|kAvuEt@v@ny,12
au monde votre père et que dieu lui pardonne,omCd@vOtR@pER|ek@dj2lHipaRdOn,12
car il est mort vous prit des bras de votre bonne,kaRilEmORvupRi|debRad@vOtR@bOn,12
et me dit  je le mets sous la protection,em@diZ@l@mE|sulapROtEksjC,12
du ciel  qu'il soit sauvé de la corruption ,dysjElkilswasove|d@lakORypsjC,12
 le malheur dit mardoche est que les demoiselles,l@mal9RdimaRdoS|Ek@led@mwazEl,12
sont toutes par nature ou par mode cruelles ,sCtut@paRnatyR|upaRmOd@kRyEl,12
car je vous entends bien et je sais que c'est mal,kaRZ@vuzAtAbje~|eZ@sEk@sEmal,12
mais que voudriez-vous monsieur qu'on fît au bal ,mEk@vudRije|vum@sj2kCfitobal,13
 oui  vous avez raison dit le bedeau le monde,wivuzaveREzC|dil@b@dol@mCd,12
est un lieu de misère et de pitié profonde,Ete~lj2d@mizER|ed@pitjepROfCd,12
 donc dit mardoche avec votre consentement,dCkdimaRdoSavEk|vOtR@kCsAt@mA,12
je reprends mon récit et mon raisonnement,Z@R@pRAmCResit|emCREzOn@mA,12
or je ne puis pas voir ma maîtresse  hier même,ORZ@n@pHipavwaR|majERmEm,13
j'ai failli m'y casser le cou  bonté suprême ,Zefajimikase|l@kubCtesypREm,12
dit le bedeau c'est dieu qui vous aurait frappé,dil@b@dosEdj2|kivuzOREfRape,12
quel est le malheureux que vous avez trompé ,kElEl@mal2R2|k@vuzavetRCpe,12
 malheureux  dit mardoche  il n'en sait rien mon père,mal2R2dimaRdoS|ilnAsERje~mCpER,12
 il n'en sait rien mon fils  nul secret sur la terre,ilnAsERje~mCfil|nyls@kREsyRlatER,12
n'est secret bien longtemps  bon dit mardoche mais,nEs@kREbje~lCtA|bCdimaRdoS@mE,12
je ne bavarde guère et je n'écris jamais,Z@n@bavaRd@gER|eZ@nekRiZamE,12
 et quand cela serait mon fils je le demande,ekAs@las@RE|mCfilZ@l@d@mAd,12
une injure cachée en est-elle moins grande ,yne~ZyR@kaSe|AEtEl@mwe~gRAd,12
en aurez-vous donc moins desséché désuni,AoRevudCkmwe~|deseSedezyni,12
un lien que la main d'un prêtre avait béni ,e~lje~k@lame~|dt|e~pREtRavEbeni,12
en aurez-vous moins fait le plus coupable outrage,AoRevumwe~fE|l@plykupablutRaZ,12
a la société dans sa loi la plus sage ,alasOsjete|dAsalwalaplysaZ,12
ce secret qu'à jamais la terre ignorera,s@s@kREkaZamE|latERinjOR@Ra,12
pensez-vous que le ciel qui le sait l'oubliera ,pAsevuk@l@sjEl|kil@sElubliRa,12
songez à ce que c'est qu'un monde et que le nôtre,sCZeas@k@sE|k|e~mCdek@l@notR,12
a quatre pas de long et pour l'horizon l'autre,akatR@pad@lC|epuRlORizClotR,12
